% 1. Title: Iris Plants Database
% 
% 2. Sources:
%      (a) Creator: R.A. Fisher
%      (b) Donor: Michael Marshall (MARSHALL%PLU@io.arc.nasa.gov)
%      (c) Date: July, 1988
% 
@RELATION iris

@ATTRIBUTE input        NUMERIC
@ATTRIBUTE force        NUMERIC           

@DATA
0.53767,2.2241
1.8339,7.2237
-2.2588,-0.66801
0.86217,3.1276
0.31877,1.6888
-1.3077,-0.69514
-0.43359,0.22804
0.34262,1.7446
3.5784,35.393
2.7694,16.313
-1.3499,-0.71643
3.0349,20.906
0.7254,2.729
-0.063055,0.87588
0.71474,2.6991
-0.20497,0.61114
-0.12414,0.75943
1.4897,5.4325
1.409,5.0789
1.4172,5.1137
0.6715,2.5793
-1.2075,-0.63578
0.71724,2.7061
1.6302,6.1033
0.48889,2.1002
1.0347,3.6739
0.72689,2.7332
-0.30344,0.43947
0.29387,1.6313
-0.78728,-0.25336
0.8884,3.2073
-1.1471,-0.594
-1.0689,-0.53326
-0.8095,-0.27886
-2.9443,-0.14339
1.4384,5.2051
0.32519,1.7038
-0.75493,-0.21519
1.3703,4.9165
-1.7115,-0.80952
-0.10224,0.80075
-0.24145,0.54638
0.31921,1.6898
0.31286,1.6751
-0.86488,-0.33992
-0.030051,0.94035
-0.16488,0.68386
0.62771,2.4606
1.0933,3.8721
1.1093,3.9275
-0.86365,-0.3386
0.077359,1.1577
-1.2141,-0.64009
-1.1135,-0.56884
-0.0068493,0.98632
1.5326,5.6296
-0.76967,-0.23273
0.37138,1.8126
-0.22558,0.57437
1.1174,3.9557
-1.0891,-0.54966
0.032557,1.0656
0.55253,2.2625
1.1006,3.8975
1.5442,5.6839
0.085931,1.1756
-1.4916,-0.77185
-0.7423,-0.19997
-1.0616,-0.52722
2.3505,11.202
-0.6156,-0.037134
0.74808,2.7932
-0.19242,0.63373
0.88861,3.2079
-0.76485,-0.22702
-1.4023,-0.73979
-1.4224,-0.74787
0.48819,2.0984
-0.17738,0.66102
-0.19605,0.62717
1.4193,5.1228
0.29158,1.626
0.19781,1.4153
1.5877,5.8923
-0.80447,-0.27313
0.69662,2.6486
0.83509,3.0464
-0.24372,0.5424
0.21567,1.4547
-1.1658,-0.60746
-1.148,-0.59464
0.10487,1.2153
0.72225,2.7201
2.5855,13.798
-0.66689,-0.10524
0.18733,1.3923
-0.082494,0.83842
-1.933,-0.7904
-0.43897,0.2197
-1.7947,-0.80886
0.84038,3.0621
-0.88803,-0.36437
0.10009,1.2052
-0.54453,0.0621
0.30352,1.6535
-0.60033,-0.01628
0.48997,2.1029
0.73936,2.7684
1.7119,6.5295
-0.19412,0.63065
-2.1384,-0.72537
-0.83959,-0.31248
1.3546,4.8519
-1.0722,-0.53596
0.96095,3.4339
0.12405,1.2558
1.4367,5.1978
-1.9609,-0.78414
-0.1977,0.6242
-1.2078,-0.63601
2.908,18.552
0.82522,3.0171
1.379,4.9525
-1.0582,-0.52438
-0.46862,0.17422
-0.27247,0.49239
1.0984,3.8899
-0.27787,0.48308
0.70154,2.6623
-2.0518,-0.75802
-0.35385,0.35547
-0.82359,-0.29473
-1.5771,-0.7934
0.50797,2.1483
0.28198,1.604
0.03348,1.0675
-1.3337,-0.70851
1.1275,3.9912
0.35018,1.7624
-0.29907,0.44688
0.02289,1.046
-0.262,0.51051
-1.7502,-0.81021
-0.28565,0.46974
-0.83137,-0.3034
-0.97921,-0.45445
-1.1564,-0.60074
-0.53356,0.077916
-2.0026,-0.77322
0.96423,3.4444
0.52006,2.1791
-0.020028,0.96014
-0.034771,0.93106
-0.79816,-0.26592
1.0187,3.621
-0.13322,0.74245
-0.71453,-0.16584
1.3514,4.8388
-0.22477,0.57582
-0.58903,-0.00068816
-0.29375,0.45591
-0.84793,-0.32161
-1.1201,-0.57392
2.526,13.081
1.6555,6.2321
0.30754,1.6628
-1.2571,-0.66673
-0.86547,-0.34054
-0.17653,0.66255
0.79142,2.9179
-1.332,-0.70768
-2.3299,-0.62817
-1.4491,-0.75782
0.33351,1.7232
0.39135,1.8604
0.45168,2.0074
-0.13028,0.74793
0.18369,1.3843
-0.47615,0.1628
0.86202,3.1271
-1.3617,-0.72199
0.45503,2.0157
-0.84871,-0.32246
-0.33489,0.38676
0.55278,2.2631
1.0391,3.6886
-1.1176,-0.57202
1.2607,4.48
0.66014,2.5483
-0.067866,0.86657
-0.19522,0.62867
-0.21761,0.58855
-0.30311,0.44003
0.023046,1.0464
0.05129,1.1039
0.82606,3.0196
1.527,5.6033
0.46691,2.0452
-0.20971,0.60264
0.62519,2.4539
0.18323,1.3833
-1.0298,-0.50009
0.94922,3.3967
0.30706,1.6617
0.13517,1.2795
0.51525,2.1668
0.26141,1.5572
-0.94149,-0.41839
-0.16234,0.68853
-0.14605,0.71857
-0.53201,0.080155
1.6821,6.3707
-0.87573,-0.35145
-0.48382,0.15127
-0.712,-0.16269
-1.1742,-0.61332
-0.19224,0.63405
-0.27407,0.48963
1.5301,5.6177
-0.24902,0.5331
-1.0642,-0.52941
1.6035,5.9697
1.2347,4.3813
-0.22963,0.56722
-1.5062,-0.77615
-0.44463,0.21094
-0.15594,0.7003
0.27607,1.5905
-0.26116,0.51195
0.44342,1.9871
0.39189,1.8617
-1.2507,-0.66289
-0.94796,-0.4247
-0.74111,-0.19852
-0.50782,0.11554
-0.32058,0.41062
0.012469,1.025
-3.0292,-0.063823
-0.45701,0.1919
1.2424,4.4107
-1.0667,-0.53147
0.93373,3.3478
0.35032,1.7627
-0.029006,0.94241
0.18245,1.3816
-1.5651,-0.79091
-0.084539,0.8345
1.6039,5.9721
0.098348,1.2015
0.041374,1.0836
-0.73417,-0.19007
-0.030814,0.93885
0.23235,1.4918
0.42639,1.9453
-0.37281,0.32456
-0.23645,0.55516
2.0237,8.4654
-2.2584,-0.66828
2.2294,10.086
0.33756,1.7327
1.0001,3.56
-1.6642,-0.8063
-0.59003,-0.0020816
-0.27806,0.48275
0.42272,1.9363
-1.6702,-0.80685
0.47163,2.057
-1.2128,-0.63927
0.06619,1.1346
0.65236,2.5271
0.32706,1.7081
1.0826,3.8356
1.0061,3.5796
-0.65091,-0.084337
0.25706,1.5474
-0.94438,-0.42121
-1.3218,-0.7025
0.92483,3.3199
4.9849e-05,1.0001
-0.054919,0.89167
0.91113,3.2773
0.59458,2.3724
0.3502,1.7624
1.2503,4.4403
0.92979,3.3355
0.23976,1.5084
-0.69036,-0.13542
-0.65155,-0.085187
1.1921,4.2231
-1.6118,-0.79964
-0.024462,0.95138
-1.9488,-0.78695
1.0205,3.6269
0.86172,3.1262
0.0011621,1.0023
-0.070837,0.86084
-2.4863,-0.52619
0.58117,2.3371
-2.1924,-0.70128
-2.3193,-0.63438
0.079934,1.1631
-0.94848,-0.4252
0.41149,1.909
0.67698,2.5944
0.85773,3.1142
-0.69116,-0.13644
0.44938,2.0017
0.10063,1.2063
0.82607,3.0196
0.53616,2.2203
0.89789,3.2364
-0.13194,0.74484
-0.1472,0.71645
1.0078,3.5851
-2.1237,-0.73143
-0.50459,0.12031
-1.2706,-0.67461
-0.38258,0.30878
0.64868,2.5171
0.82573,3.0186
-1.0149,-0.48703
-0.47107,0.17049
0.13702,1.2835
-0.29186,0.45913
0.30182,1.6496
0.39993,1.8811
-0.92996,-0.40703
-0.17683,0.66201
-2.1321,-0.72798
1.1454,4.0544
-0.62909,-0.055334
-1.2038,-0.63339
-0.25394,0.52451
-1.4286,-0.75028
-0.020858,0.9585
-0.56066,0.03908
2.1778,9.6481
1.1385,4.03
-2.4969,-0.51862
0.44133,1.9819
-1.3981,-0.73807
-0.25506,0.52257
0.1644,1.3424
0.74773,2.7922
-0.27305,0.49139
1.5763,5.837
-0.48094,0.15559
0.32751,1.7092
0.66473,2.5608
0.085189,1.174
0.88095,3.1845
0.32321,1.6992
-0.78415,-0.24971
-1.8054,-0.8082
1.8586,7.3736
-0.60453,-0.022044
0.10336,1.2121
0.56317,2.2901
0.1136,1.2337
-0.90473,-0.3816
-0.46771,0.17558
-0.12489,0.75803
1.479,5.3842
-0.86082,-0.33556
0.78467,2.8983
0.30862,1.6653
-0.23386,0.55974
-1.057,-0.52337
-0.28414,0.47233
-0.08669,0.83038
-1.4694,-0.7648
0.19218,1.4029
-0.82229,-0.29329
-0.094241,0.81596
0.33621,1.7296
-0.90465,-0.38153
-0.28826,0.46529
0.35006,1.7621
-1.8359,-0.8056
1.036,3.6782
2.4245,11.953
0.9594,3.429
-0.31577,0.41868
0.42862,1.9508
-1.036,-0.50549
1.8779,7.4928
0.9407,3.3698
0.78735,2.906
-0.87587,-0.35161
0.31995,1.6916
-0.55829,0.042444
-0.31143,0.42598
-0.57001,0.025879
-1.0257,-0.49656
-0.90875,-0.3857
-0.2099,0.60231
-1.6989,-0.80892
0.6076,2.4069
-0.1178,0.77135
0.69916,2.6556
0.26965,1.5759
0.49429,2.1137
-1.4831,-0.76923
-1.0203,-0.49175
-0.447,0.20729
0.10966,1.2253
1.1287,3.9956
-0.28996,0.46237
1.2616,4.4835
0.47542,2.0664
1.1741,4.1576
0.12695,1.262
-0.65682,-0.092099
-1.4814,-0.76869
0.15549,1.3231
0.81855,2.9974
-0.29259,0.4579
-0.54079,0.06748
-0.30864,0.43068
-1.0966,-0.55565
-0.49301,0.13751
-0.18074,0.6549
0.045841,1.0927
-0.063783,0.87447
0.61134,2.4169
0.10932,1.2246
1.814,7.1056
0.31202,1.6732
1.8045,7.0497
-0.72312,-0.17649
0.52655,2.1956
-0.26025,0.51354
0.60014,2.3871
0.59393,2.3707
-2.186,-0.70428
-1.327,-0.70518
-1.441,-0.7549
0.40184,1.8857
1.4702,5.3451
-0.32681,0.40019
0.81232,2.979
0.54554,2.2444
-1.0516,-0.51887
0.39747,1.8751
-0.75189,-0.21155
1.5163,5.5537
-0.032567,0.9354
1.636,6.1325
-0.42506,0.24136
0.58943,2.3589
-0.062791,0.87639
-2.022,-0.76754
-0.98213,-0.45717
0.61251,2.42
-0.054886,0.89173
-1.1187,-0.57285
-0.62638,-0.051691
0.24952,1.5303
-0.99302,-0.46722
0.97495,3.4787
-0.64071,-0.070846
1.8089,7.0753
-1.0799,-0.54225
0.19919,1.4183
-1.521,-0.78027
-0.72363,-0.17712
-0.59325,-0.0065304
0.40134,1.8845
0.94213,3.3743
0.30049,1.6465
-0.37307,0.32414
0.81549,2.9883
0.79889,2.9396
0.12021,1.2476
0.57125,2.3112
0.4128,1.9122
-0.98696,-0.46165
0.75957,2.826
-0.6572,-0.092604
-0.60392,-0.021207
0.17695,1.3696
-0.3075,0.4326
-0.13182,0.74506
0.59536,2.3745
1.0468,3.7145
-0.19796,0.62374
0.32768,1.7096
-0.2383,0.55191
0.2296,1.4857
0.44,1.9786
-0.61687,-0.038849
0.27484,1.5877
0.6011,2.3897
0.092308,1.1889
1.7298,6.6271
-0.60856,-0.027549
-0.73706,-0.19359
-1.7499,-0.81021
0.91048,3.2753
0.86708,3.1424
-0.079893,0.84341
0.89848,3.2382
0.1837,1.3843
0.29079,1.6242
0.11294,1.2323
0.43995,1.9785
0.10166,1.2085
2.7873,16.585
-1.1667,-0.60804
-1.8543,-0.80352
-1.1407,-0.58932
-1.0933,-0.55307
-0.43361,0.22802
-0.16847,0.67728
-0.21853,0.5869
0.54133,2.2336
0.38927,1.8554
0.75123,2.8021
1.7783,6.8981
1.2231,4.3377
-1.2833,-0.68181
-2.329,-0.62871
0.90193,3.2489
-1.8356,-0.80562
0.066757,1.1357
0.035479,1.0716
2.2272,10.066
-0.069214,0.86397
-0.50732,0.11627
0.23581,1.4996
0.2458,1.522
0.070045,1.1425
-0.60858,-0.027581
-1.2226,-0.64552
0.3165,1.6836
-1.3429,-0.71304
-1.0322,-0.50219
1.3312,4.7571
-0.4189,0.25101
-0.14032,0.72922
0.89982,3.2424
-0.30011,0.44511
1.0294,3.6563
-0.34507,0.36991
1.0128,3.6016
0.62933,2.465
-0.21302,0.59674
-0.8657,-0.34079
-1.0431,-0.51162
-0.27007,0.49653
-0.43814,0.22098
-0.40867,0.26714
0.98355,3.5064
-0.2977,0.44921
1.1437,4.0485
-0.53162,0.080722
0.97257,3.4711
-0.52225,0.094352
0.17658,1.3688
0.97074,3.4652
-0.41397,0.25877
-0.43827,0.22078
2.0034,8.322
0.95099,3.4023
-0.432,0.23052
0.64894,2.5179
